Title,Date
"El bosque del piano: Temporada 1: Dios de la competencia","02-01-19"
"El bosque del piano: Temporada 1: El elegido","02-01-19"
"Girlboss: Temporada 1: Pantalones largos","02-01-19"
"Girlboss: Temporada 1: Cinco por ciento","02-01-19"
"Esto es todo","01-01-19"
"El sexto sentido","01-01-19"
"Cuando los ángeles duermen","30-12-18"
"Girlboss: Temporada 1: Top ocho","29-12-18"
"Girlboss: Temporada 1: Ladyshopper99","28-12-18"
"Girlboss: Temporada 1: Gracias, San Francisco","28-12-18"
"Girlboss: Temporada 1: La hernia","28-12-18"
"Girlboss: Temporada 1: Sophia","28-12-18"
"Amigos con derechos","26-12-18"
"Battle","26-12-18"
"El Grinch","25-12-18"
"Jane The Virgin: Temporada 3: Capítulo sesenta y cuatro","24-12-18"
"Jane The Virgin: Temporada 3: Capítulo sesenta y tres","24-12-18"
"Jane The Virgin: Temporada 3: Capítulo sesenta y dos","24-12-18"
"Jane The Virgin: Temporada 3: Capítulo sesenta y uno","24-12-18"
"Jane The Virgin: Temporada 3: Capítulo sesenta","24-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y nueve","24-12-18"
"El turista","24-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y ocho","24-12-18"
"No estoy loca","24-12-18"
"Mala hierba","23-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y siete","23-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y seis","23-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y cinco","23-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y uno","23-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y tres","22-12-18"
"Black Mirror: Temporada 2: El momento Waldo","22-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y dos","22-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta y uno","22-12-18"
"Jane The Virgin: Temporada 3: Capítulo cincuenta","21-12-18"
"Jane The Virgin: Temporada 3: Capítulo cuarenta y nueve","21-12-18"
"Jane The Virgin: Temporada 3: Capítulo cuarenta y ocho","21-12-18"
"Jane The Virgin: Temporada 3: Capítulo cuarenta y siete","20-12-18"
"Jane The Virgin: Temporada 3: Capítulo cuarenta y seis","19-12-18"
"Jane The Virgin: Temporada 3: Capítulo cuarenta y cinco","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo cuarenta y cuatro","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo cuarenta y tres","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo cuarenta y dos","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo cuarenta y uno","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo cuarenta","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y nueve","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y ocho","19-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y siete","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y seis","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y cinco","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y cuatro","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y tres","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y dos","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta y uno","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo treinta","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo veintinueve","18-12-18"
"Jane The Virgin: Temporada 2: Capítulo veintiocho","17-12-18"
"Jane The Virgin: Temporada 2: Capítulo veintisiete","17-12-18"
"Jane The Virgin: Temporada 2: Capítulo veintiséis","17-12-18"
"Jane The Virgin: Temporada 2: Capítulo veinticinco","17-12-18"
"Jane The Virgin: Temporada 1: Capítulo cuatro","16-12-18"
"Jane The Virgin: Temporada 1: Capítulo tres","16-12-18"
"Jane The Virgin: Temporada 1: Capítulo dos","16-12-18"
"Jane The Virgin: Temporada 1: Capítulo uno (Piloto)","16-12-18"
"Un perdedor con suerte","16-12-18"
"Jane The Virgin: Temporada 1: Capítulo veintidós","16-12-18"
"Jane The Virgin: Temporada 1: Capítulo veintiuno","16-12-18"
"Jane The Virgin: Temporada 1: Capítulo veinte","16-12-18"
"Gotham: Temporada 4: Un día en los Narrows","15-12-18"
"Frida","14-12-18"
"Jane The Virgin: Temporada 1: Capítulo diecinueve","13-12-18"
"Jane The Virgin: Temporada 1: Capítulo dieciocho","13-12-18"
"Jane The Virgin: Temporada 1: Capítulo diecisiete","13-12-18"
"Jane The Virgin: Temporada 1: Capítulo dieciséis","13-12-18"
"Atracción fatal","12-12-18"
"La Navidad de Angela","08-12-18"
"Jane The Virgin: Temporada 1: Capítulo quince","07-12-18"
"Barrio Universitario","07-12-18"
"Jane The Virgin: Temporada 1: Capítulo catorce","07-12-18"
"Jane The Virgin: Temporada 1: Capítulo trece","06-12-18"
"Jane The Virgin: Temporada 1: Capítulo doce","06-12-18"
"Jane The Virgin: Temporada 1: Capítulo once","06-12-18"
"Jane The Virgin: Temporada 1: Capítulo diez","06-12-18"
"Jane The Virgin: Temporada 1: Capítulo nueve","06-12-18"
"Jane The Virgin: Temporada 1: Capítulo ocho","05-12-18"
"Jane The Virgin: Temporada 1: Capítulo siete","05-12-18"
"Jane The Virgin: Temporada 1: Capítulo seis","05-12-18"
"Tiempo compartido","05-12-18"
"Vikingos: Temporada 5: Momentos visionarios","05-12-18"
"Una pareja más tonta","05-12-18"
"Vikingos: Temporada 5: Una historia sencilla","05-12-18"
"Intersection: Temporada 3: Episodio 4","05-12-18"
"Intersection: Temporada 3: Episodio 3","05-12-18"
"Intersection: Temporada 3: Episodio 2","05-12-18"
"Vikingos: Temporada 5: El chiste","05-12-18"
"Vikingos: Temporada 5: Luna llena","05-12-18"
"Intersection: Temporada 3: Episodio 1","05-12-18"
"Vikingos: Temporada 5: El mensaje","05-12-18"
"Vikingos: Temporada 5: El prisionero","05-12-18"
"La Última Fiesta","05-12-18"
"El mundo es tuyo","04-12-18"
"Intersection: Temporada 2: Episodio 13","04-12-18"
"Vikingos: Temporada 5: El plan","04-12-18"
"Intersection: Temporada 2: Episodio 12","04-12-18"
"Intersection: Temporada 2: Episodio 11","04-12-18"
"Intersection: Temporada 2: Episodio 10","04-12-18"
"Intersection: Temporada 2: Episodio 9","04-12-18"
"Vikingos: Temporada 5: Patria","04-12-18"
"Jane The Virgin: Temporada 1: Capítulo cinco","03-12-18"
"Intersection: Temporada 2: Episodio 8","03-12-18"
"Nicky Jam: El Ganador: Temporada 1: En la cama","03-12-18"
"Nicky Jam: El Ganador: Temporada 1: Con el micrófono y la forty","03-12-18"
"Vikingos: Temporada 5: Los difuntos","03-12-18"
"Los chicos sin destino: El libro de las sombras","03-12-18"
"Intersection: Temporada 2: Episodio 7","03-12-18"
"Intersection: Temporada 2: Episodio 6","02-12-18"
"Vikingos: Temporada 5: El rey pescador","02-12-18"
"Vikingos: Temporada 1: Desposeídos","02-12-18"
"Vikingos: Temporada 1: La furia de los hombres del norte","02-12-18"
"Chicos perdidos: Temporada 3: La batalla por Bremin","02-12-18"
"Nicky Jam: El Ganador: Temporada 1: Escape a Nueva Yol","02-12-18"
"Chicos perdidos: Temporada 3: El nacimiento del megademonio","02-12-18"
"Nicky Jam: El Ganador: Temporada 1: Los Cangris","02-12-18"
"Intersection: Temporada 2: Episodio 5","01-12-18"
"Intersection: Temporada 2: Episodio 4","01-12-18"
"Tomorrowland: El mundo del mañana","01-12-18"
"Se busca","01-12-18"
"Sin límites","01-12-18"
"Intersection: Temporada 2: Episodio 3","01-12-18"
"La vida acuática con Steve Zissou","30-11-18"
"Intersection: Temporada 2: Episodio 2","30-11-18"
"Chicos perdidos: Temporada 3: La búsqueda del Atridax","30-11-18"
"Security","30-11-18"
"Acts of Vengeance","29-11-18"
"Ralph, el demoledor","29-11-18"
"Intersection: Temporada 2: Episodio 1","29-11-18"
"Élite: Temporada 1: Assilah","29-11-18"
"Un espía y medio","29-11-18"
"Élite: Temporada 1: Todo estalla","29-11-18"
"Élite: Temporada 1: Todo va a salir bien","29-11-18"
"Élite: Temporada 1: Todos mienten","29-11-18"
"Las crónicas de Navidad","29-11-18"
"Élite: Temporada 1: El amor es una droga","29-11-18"
"Intersection: Temporada 1: Episodio 13","28-11-18"
"Mudo","28-11-18"
"Los últimos días en el desierto","28-11-18"
"Intersection: Temporada 1: Episodio 12","28-11-18"
"Intersection: Temporada 1: Episodio 11","28-11-18"
"Intersection: Temporada 1: Episodio 10","28-11-18"
"Chicos perdidos: Temporada 3: Visitantes no deseados","28-11-18"
"Chicos perdidos: Temporada 3: El hechizo de la verdad","28-11-18"
"La tribu","28-11-18"
"Intersection: Temporada 1: Episodio 9","27-11-18"
"Bullet Head","27-11-18"
"Mickey celebra la Navidad","27-11-18"
"Bob Esponja: La película","27-11-18"
"Cuba and the Cameraman","26-11-18"
"Perú: Tesoro escondido","26-11-18"
"Odile","26-11-18"
"Chicos perdidos: Temporada 3: De vuelta al mundo vacío","26-11-18"
"Élite: Temporada 1: Bienvenidos","26-11-18"
"Chicos perdidos: Temporada 3: El problema con Ben","26-11-18"
"Chicos perdidos: Temporada 3: ¿Ya estamos en casa?","26-11-18"
"Chicos perdidos: Temporada 3: Bates al rescate","26-11-18"
"Chicos perdidos: Temporada 3: El grupo hace magia","26-11-18"
"Narcos: México: Temporada 1: Leyenda","26-11-18"
"Narcos: México: Temporada 1: 881 Lope de Vega","25-11-18"
"Chicos perdidos: Temporada 3: No estamos solos","25-11-18"
"Chicos perdidos: Temporada 3: ¿Qué le pasó a Bremin?","25-11-18"
"Chicos perdidos: Temporada 3: El chico nuevo","25-11-18"
"Narcos: México: Temporada 1: Solo di que no","25-11-18"
"Narcos: México: Temporada 1: Jefe de jefes","25-11-18"
"Narcos: México: Temporada 1: La última frontera","25-11-18"
"Narcos: México: Temporada 1: La conexión colombiana","25-11-18"
"Jackass: La película","25-11-18"
"El bosque siniestro","25-11-18"
"El velo","25-11-18"
"Caso 39","25-11-18"
"Mamá","25-11-18"
"El amanecer de los muertos","25-11-18"
"Narcos: México: Temporada 1: ¡Rafa, Rafa, Rafa!","25-11-18"
"Narcos: México: Temporada 1: El Padrino","24-11-18"
"Narcos: México: Temporada 1: El sistema de plazas","24-11-18"
"Narcos: México: Temporada 1: Camelot","24-11-18"
"Extraordinary: The Stan Romanek Story","22-11-18"
"El Hombre de las Mil Caras","22-11-18"
"Black Mirror: Temporada 2: Oso blanco","22-11-18"
"The Saint","21-11-18"
"Gibby","21-11-18"
"Intersection: Temporada 1: Episodio 8","21-11-18"
"Edge of Fear","20-11-18"
"El método Kominsky: Temporada 1: Capítulo 1: Un actor evita","20-11-18"
"La balada de Buster Scruggs","20-11-18"
"Intersection: Temporada 1: Episodio 7","20-11-18"
"Hip-Hop Evolution: Temporada 2: Los independientes de la bahía","20-11-18"
"Intersection: Temporada 1: Episodio 6","20-11-18"
"Intersection: Temporada 1: Episodio 5","19-11-18"
"Hip-Hop Evolution: Temporada 2: Al estilo sureño","19-11-18"
"Enemigo público","19-11-18"
"13 asesinos","19-11-18"
"Ataque a los titanes","19-11-18"
"Intersection: Temporada 1: Episodio 4","19-11-18"
"Intersection: Temporada 1: Episodio 3","18-11-18"
"Tortugas ninja 2: Fuera de las sombras","18-11-18"
"Tales by Light: Temporada 2: Vida y muerte (Parte 1)","18-11-18"
"Albion: El caballo encantado","18-11-18"
"La lista de Schindler","18-11-18"
"Kidnapping Mr. Heineken","18-11-18"
"Anacleto: Agente Secreto","18-11-18"
"Nobel: Temporada 1: Episodio 3","18-11-18"
"Intersection: Temporada 1: Episodio 2","17-11-18"
"Hip-Hop Evolution: Temporada 2: Estilo neoyorquino","17-11-18"
"El otro turismo: Temporada 1: Latinoamérica","17-11-18"
"Ibiza","17-11-18"
"Macho","17-11-18"
"Jardín de meteoros: Temporada 1: Episodio 15","16-11-18"
"Tales by Light: Temporada 2: Depredadores incomprendidos (Parte 2)","16-11-18"
"Tales by Light: Temporada 2: Depredadores incomprendidos (Parte 1)","16-11-18"
"Jardín de meteoros: Temporada 1: Episodio 14","16-11-18"
"Jardín de meteoros: Temporada 1: Episodio 13","16-11-18"
"Jardín de meteoros: Temporada 1: Episodio 12","16-11-18"
"Jardín de meteoros: Temporada 1: Episodio 11","16-11-18"
"Legítimo rey","16-11-18"
"Jardín de meteoros: Temporada 1: Episodio 10","16-11-18"
"Jardín de meteoros: Temporada 1: Episodio 5","16-11-18"
"Tales by Light: Temporada 2: Naturaleza sagrada (Parte 2)","16-11-18"
"Tales by Light: Temporada 2: Naturaleza sagrada (Parte 1)","16-11-18"
"Tales by Light: Temporada 1: Tribus","16-11-18"
"Tales by Light: Temporada 1: Vista panorámica","16-11-18"
"Tales by Light: Temporada 1: Naturaleza salvaje","16-11-18"
"27: Gone Too Soon","16-11-18"
"Atracadores","16-11-18"
"Intersection: Temporada 1: Episodio 1","15-11-18"
"House of Cards: Temporada 6: Capítulo 72","15-11-18"
"La maldición de Hill House: The Haunting of Hill House: Steven ve un fantasma","15-11-18"
"Colombia: Magia Salvaje","14-11-18"
"The Sinner: The Sinner: Julian: Parte I","14-11-18"
"House of Cards: Temporada 6: Capítulo 71","14-11-18"
"House of Cards: Temporada 6: Capítulo 70","14-11-18"
"Wanderlust: Temporada 1: Episodio 1","14-11-18"
"Tales by Light: Temporada 1: Adrenalina","14-11-18"
"Tales by Light: Temporada 1: El Himalaya","14-11-18"
"BIENVENIDO A LOS 40","14-11-18"
"Tales by Light: Temporada 1: Bajo el agua","13-11-18"
"House of Cards: Temporada 6: Capítulo 69","13-11-18"
"House of Cards: Temporada 6: Capítulo 68","13-11-18"
"House of Cards: Temporada 6: Capítulo 67","13-11-18"
"House of Cards: Temporada 6: Capítulo 66","13-11-18"
"The Mexican","13-11-18"
"Narcos: Temporada 3: De vuelta a Cali","12-11-18"
"Narcos: Temporada 3: Todos los hombres del presidente","12-11-18"
"Narcos: Temporada 3: Convivir","12-11-18"
"Narcos: Temporada 3: Sin salida","12-11-18"
"Narcos: Temporada 3: El mejor plan","12-11-18"
"Baahubali 2: La conclusión","12-11-18"
"TAU","12-11-18"
"Narcos: Temporada 3: MRO","12-11-18"
"Narcos: Temporada 3: Jaque mate","11-11-18"
"10 días en oro","11-11-18"
"Mientras dormías","11-11-18"
"3 Türken & ein Baby","11-11-18"
"Jefe","11-11-18"
"La noche anterior","11-11-18"
"Malcriados","11-11-18"
"BoJack Horseman: Temporada 4: ¿Qué hora es exactamente?","10-11-18"
"BoJack Horseman: Temporada 4: La flecha del tiempo","10-11-18"
"Alexander y un día terrible, horrible, malo... ¡muy malo!","10-11-18"
"el Padre de la Novia","10-11-18"
"Krampus: El terror de la Navidad","10-11-18"
"BoJack Horseman: Temporada 4: ¡Me encanta el estilo de vida californiano!","10-11-18"
"BoJack Horseman: Temporada 4: Ruthie","10-11-18"
"BoJack Horseman: Temporada 4: El juez","10-11-18"
"Obra de tu mente: Temporada 1: Los gérmenes","10-11-18"
"BoJack Horseman: Temporada 4: Bajo tierra","10-11-18"
"BoJack Horseman: Temporada 4: Estúpido desgraciado","10-11-18"
"Narcos: Temporada 3: Sigue el dinero","10-11-18"
"Obra de tu mente: Temporada 1: Hijos vs. padres","10-11-18"
"Obra de tu mente: Temporada 1: Las redes sociales","10-11-18"
"Once Upon a Holiday","10-11-18"
"Narcos: Temporada 3: La KGB de Cali","10-11-18"
"Narcos: Temporada 3: La estrategia del capo","10-11-18"
"Obra de tu mente: Temporada 1: Los superhéroes","10-11-18"
"La chica del dragón tatuado","10-11-18"
"Big Fish & Begonia","10-11-18"
"Justicia joven: Temporada 1: Fuegos artificiales","10-11-18"
"Justicia joven: Temporada 1: Día de la Independencia","10-11-18"
"Angel of Christmas","09-11-18"
"Navidad con vista de ensueño","09-11-18"
"Narcos: Temporada 2: ¡Al fin cayó!","09-11-18"
"Narcos: Temporada 2: Nuestra finca","08-11-18"
"Narcos: Temporada 2: El patrón se va","08-11-18"
"Narcos: Temporada 2: Alemania, 1993","08-11-18"
"Narcos: Temporada 2: Los Pepes","08-11-18"
"Narcos: Temporada 2: Los enemigos de mi enemigo","08-11-18"
"Inside the World’s Toughest Prisons: Temporada 2: Brasil: La cárcel de los pandilleros","08-11-18"
"Unacknowledged","07-11-18"
"El calendario de Navidad","07-11-18"
"Narcos: Temporada 2: El bueno, el malo y el muerto","07-11-18"
"Salvados: Colección 1: Sin transparencia","07-11-18"
"BoJack Horseman: Temporada 4: Mis condolencias","07-11-18"
"BoJack Horseman: Temporada 4: Iniciar perforación","07-11-18"
"Daddy Cool","07-11-18"
"BoJack Horseman: Temporada 4: ¡Viva! ¡El episodio de Todd!","07-11-18"
"BoJack Horseman: Temporada 4: La vieja casa de los Sugarman","07-11-18"
"Narcos: Temporada 2: Nuestro hombre en Madrid","07-11-18"
"BoJack Horseman: Temporada 4: El señor Peanutbutter se mete en política","07-11-18"
"Narcos: Temporada 2: Cambalache","07-11-18"
"BoJack Horseman: Temporada 3: Eso salió bien","07-11-18"
"BoJack Horseman: Temporada 3: ¡Eso es demasiado, viejo!","07-11-18"
"BoJack Horseman: Temporada 3: Eres tú","07-11-18"
"BoJack Horseman: Temporada 3: Lo mejor que pudo haberte pasado","06-11-18"
"The Defiant Ones: Miniserie: Parte 3","06-11-18"
"The Defiant Ones: Miniserie: Parte 4","06-11-18"
"BoJack Horseman: Temporada 3: Viejos conocidos","06-11-18"
"BoJack Horseman: Temporada 3: Paren las prensas","05-11-18"
"BoJack Horseman: Temporada 3: Brrap Brrap Pew Pew","05-11-18"
"Narcos: Temporada 2: Al fin libre","05-11-18"
"Narcos: Temporada 1: Despegue","05-11-18"
"Narcos: Temporada 1: La catedral","05-11-18"
"Narcos: Temporada 1: La gran mentira","05-11-18"
"Narcos: Temporada 1: Llorarás lágrimas de sangre","04-11-18"
"Narcos: Temporada 1: Explosivos","04-11-18"
"Narcos: Temporada 1: Habrá futuro","04-11-18"
"Narcos: Temporada 1: El palacio en llamas","04-11-18"
"Conexión mortal","04-11-18"
"Narcos: Temporada 1: Los hombres de siempre","04-11-18"
"Narcos: Temporada 1: La espada de Simón Bolívar","04-11-18"
"Riverdale: Temporada 1: Capítulo 5: El corazón de las tinieblas","04-11-18"
"Riverdale: Temporada 1: Capítulo 4: La última película","03-11-18"
"Riverdale: Temporada 1: Capítulo 3: Doble de cuerpo","03-11-18"
"Riverdale: Temporada 1: Capítulo 2: Las sombras del mal","03-11-18"
"Riverdale: Temporada 1: Capítulo 1: Corrientes traicioneras","03-11-18"
"Mi vecino es un espía","03-11-18"
"La venganza perfecta","03-11-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: El laberinto de trampas mortales","03-11-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Una confesión escalofriante","03-11-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Maestro del sol","03-11-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Adiós, querido ladrón","03-11-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Donde se encuentra el amor","03-11-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Padre e hijo","03-11-18"
"La noche nos persigue","03-11-18"
"How High","03-11-18"
"Edha: Temporada 1: Las costuras del pasado","03-11-18"
"Edha: Temporada 1: La marca de la venganza","02-11-18"
"Enemigo íntimo: Season 1: Caminos opuestos","02-11-18"
"La habitación","02-11-18"
"Mac & Devin Go to High School","02-11-18"
"No me olvides","02-11-18"
"And While We Were Here","02-11-18"
"The Defiant Ones: Miniserie: Parte 2","02-11-18"
"The Defiant Ones: Miniserie: Parte 1","02-11-18"
"Jardín de meteoros: Temporada 1: Episodio 4","02-11-18"
"Nobel: Temporada 1: Episodio 2","02-11-18"
"Nobel: Temporada 1: Episodio 1","02-11-18"
"Un jefe en pañales: De vuelta a los negocios: Temporada 2: El suero","01-11-18"
"Sin filtro","01-11-18"
"BoJack Horseman: Temporada 3: Amor y/o matrimonio","01-11-18"
"BoJack Horseman: Temporada 3: Como pez fuera del agua","01-11-18"
"BoJack Horseman: Temporada 3: BoJack mata","01-11-18"
"Capos de la droga: Temporada 2: El Chapo","01-11-18"
"BoJack Horseman: Temporada 3: El programa de BoJack Horseman","01-11-18"
"BoJack Horseman: Temporada 3: Corran la voz","01-11-18"
"BoJack Horseman: Temporada 2: Hacia altamar","01-11-18"
"Terrorismo: Ataques frustrados: Temporada 1: El plan de ataque al metro de Nueva York","01-11-18"
"BoJack Horseman: Temporada 2: Escape de L.A.","01-11-18"
"BoJack Horseman: Temporada 2: Sí, y","01-11-18"
"BoJack Horseman: Temporada 2: La escena","01-11-18"
"BoJack Horseman: Temporada 2: Averigüémoslo","01-11-18"
"BoJack Horseman: Temporada 2: Hank de noche","31-10-18"
"BoJack Horseman: Temporada 2: Amor pendiente","31-10-18"
"Gotham: Temporada 4: Un cerdo por la tarde","31-10-18"
"Gotham: Temporada 4: El camino de la daga","31-10-18"
"Gotham: Temporada 4: La cabeza del demonio","31-10-18"
"Gotham: Temporada 1: El yunque o el martillo","31-10-18"
"BoJack Horseman: Temporada 2: Gallinas","31-10-18"
"BoJack Horseman: Temporada 2: After party","31-10-18"
"Lucifer: Temporada 2: El bueno, el malo y el crujiente","31-10-18"
"El mundo oculto de Sabrina: Parte 1: Capítulo cuatro: La academia de las brujas","31-10-18"
"Lucifer: Temporada 2: Simpatía por la diosa","31-10-18"
"Lucifer: Temporada 2: Dios Johnson","30-10-18"
"Lucifer: Temporada 2: Parásito abominable","30-10-18"
"Batman Ninja","30-10-18"
"El mundo oculto de Sabrina: Parte 1: Capítulo tres: El juicio de Sabrina Spellman","30-10-18"
"El mundo oculto de Sabrina: Parte 1: Capítulo cinco: Los sueños en la casa de la bruja","30-10-18"
"El mundo oculto de Sabrina: Parte 1: Capítulo uno: El país de octubre","30-10-18"
"Lucifer: Temporada 2: Dulce Estrella de la Mañana","30-10-18"
"Lucifer: Temporada 2: Un buen día para morir","30-10-18"
"Lucifer: Temporada 2: Las agarraderas del amor","30-10-18"
"Lucifer: Temporada 2: La azafata interrumpiendo","30-10-18"
"Lucifer: Temporada 2: Maldito criminal","30-10-18"
"Lucifer: Temporada 2: Rompehogares","30-10-18"
"Lucifer: Temporada 2: Al filo de la navaja","30-10-18"
"Lucifer: Temporada 2: Mi adorada hija","30-10-18"
"Lucifer: Temporada 2: Monstruo","30-10-18"
"Lucifer: Temporada 2: El Exterminador","30-10-18"
"Lucifer: Temporada 2: Las señoritas se van","29-10-18"
"Lucifer: Temporada 2: Devorador de pecados","29-10-18"
"BoJack Horseman: Temporada 2: Irreparable","29-10-18"
"BoJack Horseman: Temporada 2: Pasadolandia","29-10-18"
"Vikingos: Temporada 1: Ritos de iniciación","29-10-18"
"BoJack Horseman: Temporada 2: Un sofá completamente nuevo","29-10-18"
"BoJack Horseman: Temporada 1: Tarde","29-10-18"
"Lucifer: Temporada 2: Engaña engañadora, dijo la gran zorra infame","29-10-18"
"Lucifer: Temporada 2: Todo resulta bien para Lucifer","29-10-18"
"Lucifer: Temporada 1: Regrésame al Infierno","29-10-18"
"Lucifer: Temporada 1: #EquipoLucifer","29-10-18"
"Soltera codiciada","29-10-18"
"Lucifer: Temporada 1: San Lucifer","29-10-18"
"Nuestros Amantes","28-10-18"
"Unas fiestas reales","28-10-18"
"Élite: Temporada 1: Sábado noche","28-10-18"
"Lucifer: Temporada 1: Papi","28-10-18"
"Lucifer: Temporada 1: Un padre entra a un bar","28-10-18"
"Lucifer: Temporada 1: ¿Et tu, doctor?","28-10-18"
"Lucifer: Temporada 1: Compañero alado","28-10-18"
"Lucifer: Temporada 1: Hijo favorito","28-10-18"
"Lucifer: Temporada 1: Lindos zapatos","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Mientras estés aquí","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: ¡El héroe se levanta!","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: El regreso de los pecadores","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Una cierta calidez","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Ten esperanza","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Meliodas contra los Diez Mandamientos","28-10-18"
"The Seven Deadly Sins: Los Siete Pecados Capitales: Los Siete Pecados Capitales","28-10-18"
"(Des)encanto: Parte 1: La caída de Dreamland","28-10-18"
"Lucifer: Temporada 1: Cosas de hombres","28-10-18"
"(Des)encanto: Parte 1: Sé fiel-fo a ti mismo","28-10-18"
"Lucifer: Temporada 1: El presunto Príncipe de las Tinieblas","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: ¿Por quién brilla esa luz?","28-10-18"
"The Seven Deadly Sins: Resurrección de los Diez Mandamientos: Figuras legendarias","28-10-18"
"12 horas para sobrevivir: El año de la elección","28-10-18"
"En la cuerda floja","28-10-18"
"Damas en guerra","27-10-18"
"Tal vez es para siempre","27-10-18"
"Lucifer: Temporada 1: Quieto, Lucifer. Buen diablo.","27-10-18"
"(Des)encanto: Parte 1: Los límites de la inmortalidad","27-10-18"
"(Des)encanto: Parte 1: Un gran gran amor","27-10-18"
"(Des)encanto: Parte 1: Pompa y repugnancia","27-10-18"
"How to Get Away With Murder: Temporada 1: Piloto","27-10-18"
"BoJack Horseman: Temporada 1: Final infeliz","27-10-18"
"BoJack Horseman: Temporada 1: Truco de poni","27-10-18"
"BoJack Horseman: Temporada 1: Caballo conmocionado","27-10-18"
"BoJack Horseman: Temporada 1: El telescopio","27-10-18"
"BoJack Horseman: Temporada 1: Di algo","27-10-18"
"BoJack Horseman: Temporada 1: Relación turbulenta","27-10-18"
"Una bruja en apuros","27-10-18"
"Hop: Rebelde sin Pascua","26-10-18"
"El príncipe - La venganza","26-10-18"
"Arrow: Temporada 5: Segunda oportunidad","26-10-18"
"DC's Legends of Tomorrow: Temporada 3: El bueno, el malo y el tierno","26-10-18"
"DC's Legends of Tomorrow: Temporada 3: Con John Noble de estrella invitada","26-10-18"
"DC's Legends of Tomorrow: Temporada 3: Yo, Ava","26-10-18"
"DC's Legends of Tomorrow: Temporada 3: La portadora","25-10-18"
"DC's Legends of Tomorrow: Temporada 3: Sublime gracia","25-10-18"
"DC's Legends of Tomorrow: Temporada 3: Sin lugar para los viejos","25-10-18"
"El niño con el pijama de rayas","23-10-18"
"Big Mouth: Temporada 2: El show de Planned Parenthood","23-10-18"
"Big Mouth: Temporada 2: Steve, el virgen","23-10-18"
"Big Mouth: Temporada 2: El Hechicero de la Vergüenza","23-10-18"
"Big Mouth: Temporada 2: Tetas","23-10-18"
"Big Mouth: Temporada 2: ¿Soy normal?","23-10-18"
"Big Mouth: Temporada 1: El PornoVista","23-10-18"
"DC's Legends of Tomorrow: Temporada 3: La maldición del tótem de la tierra","23-10-18"
"Paradise PD: Parte 1: Navidad en el paraíso","23-10-18"
"Paradise PD: Parte 1: Trampa familiar","23-10-18"
"Paradise PD: Parte 1: Fuerza especial","23-10-18"
"Paradise PD: Parte 1: Academia de policía","23-10-18"
"Paradise PD: Parte 1: Los Jabowski","23-10-18"
"Paradise PD: Parte 1: Calabozos y policías","23-10-18"
"Paradise PD: Parte 1: Karla","23-10-18"
"Gigantes de acero","23-10-18"
"Paradise PD: Parte 1: Negro y azul","23-10-18"
"Paradise PD: Parte 1: Más allá de la línea","23-10-18"
"Paradise PD: Parte 1: Bienvenidos al paraíso","23-10-18"
"Big Mouth: Temporada 1: Eyaculación","23-10-18"
